Timestamp,1. What will you mostly use PlanIt for?,2. Who are you usually planning for?,3. What’s your typical spending comfort for a day out? ,"4. For longer trips (overnight/multi-day), what is your typical per-trip budget?",5. Which of these activities do you see yourself doing? (Select all that apply),6. How much do you enjoy trying new places?,7. How important is it that a place is popular and well-reviewed?,8. What are your preferred cuisines? (Select all that apply),9. Do you have any dietary restrictions? (Select all that apply),10. How do you usually get around? ,11. How far are you willing to travel between activities?,12. How do you prefer your day to be paced? ,13. Would you like to upload your Google Maps history?,"Any questions, comments, or suggestions?"
4/5/2026 23:47:43,Discovering things to do locally,Me and a partner (couple),Budget-conscious,Budget (< $500),"Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Bars, live music, comedy shows & nightlife, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Romantic settings (date spots), Budget-friendly spots",3,4,"American, Mexican/Latin American",None,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/5/2026 23:58:30,Discovering things to do locally,Me and a partner (couple),Free or nearly free,Budget (< $500),"Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Bars, live music, comedy shows & nightlife, Shopping, markets, thrift stores & pop-ups, Wellness (fitness, meditation, yoga), Scenic spots (viewpoints, nature), Adventurous activities (climbing, extreme sports, challenges)",4,5,"Italian, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Mexican/Latin American, Indian/South Asian, Seafood Focus",None,Public Transit,10-20 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/11/2026 21:36:08,All of the above,Group of friends,Free or nearly free,Budget (< $500),"Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Adventurous activities (climbing, extreme sports, challenges), Budget-friendly spots",4,3,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Mexican/Latin American, Indian/South Asian, Mediterranean/Middle Eastern",None,"Walking, Biking, Public Transit",> 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 7:40:55,All of the above,Group of friends,Moderate,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Bars, live music, comedy shows & nightlife, Shopping, markets, thrift stores & pop-ups, Wellness (fitness, meditation, yoga), History, architecture & heritage sites, Scenic spots (viewpoints, nature), Adventurous activities (climbing, extreme sports, challenges), Family-friendly spots, Romantic settings (date spots), Dog-friendly spaces, Upscale & luxury places, Budget-friendly spots",5,4,"East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian, Mediterranean/Middle Eastern, Vegetarian Focus, Seafood Focus","Vegetarian, Halal","Walking, Biking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 7:58:15,All of the above,Group of friends,Budget-conscious,Budget (< $500),"Outdoor adventures (hiking, parks, nature), Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, Scenic spots (viewpoints, nature), Romantic settings (date spots)",4,4,"Italian, East Asian (e.g., Chinese, Japanese, Korean), Mexican/Latin American, Vegetarian Focus, Seafood Focus",Halal,"Walking, Public Transit, Driving",10-20 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 8:15:51,All of the above,Me and a partner (couple),Moderate,"Moderate ($500 - $1,500)","Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Wellness (fitness, meditation, yoga), History, architecture & heritage sites, Family-friendly spots, Romantic settings (date spots), Budget-friendly spots",2,1,"Italian, Mexican/Latin American, Indian/South Asian",None,Public Transit,20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 8:38:47,Discovering things to do locally,Group of friends,Moderate,Not applicable (I primarily use PlanIt locally),"Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Family-friendly spots, Budget-friendly spots",3,2,"American, Italian",Nut allergy,"Walking, Public Transit, Driving",10-20 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 8:44:00,All of the above,Group of friends,Moderate,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, Wellness (fitness, meditation, yoga), Upscale & luxury places, Budget-friendly spots",4,4,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino)",None,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 9:21:31,Day trips or short outings outside my city,Myself (solo),Budget-conscious,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Adventurous activities (climbing, extreme sports, challenges), Budget-friendly spots",4,4,"American, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino)",None,"Walking, Public Transit",20 - 40 minutes,Packed (max places as possible),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 9:27:32,Day trips or short outings outside my city,Group of friends,Budget-conscious,"Comfortable ($1,500 - $3,000)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Family-friendly spots, Budget-friendly spots",4,3,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Mexican/Latin American, Indian/South Asian, Mediterranean/Middle Eastern, Vegetarian Focus, Seafood Focus",None,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 10:01:55,Planning long trips (overnight/multiday),Group of friends,Budget-conscious,Budget (< $500),"Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, Scenic spots (viewpoints, nature), Family-friendly spots, Budget-friendly spots",4,5,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Mexican/Latin American, Indian/South Asian, Mediterranean/Middle Eastern, Seafood Focus",None,"Walking, Driving",20 - 40 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 11:02:56,All of the above,Multiple/Varying groups,Moderate,"Moderate ($500 - $1,500)","Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, Romantic settings (date spots), Upscale & luxury places, Budget-friendly spots",4,4,"American, Mexican/Latin American, Indian/South Asian",Halal,"Walking, Public Transit, Driving",20 - 40 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 11:06:51,All of the above,Group of friends,Budget-conscious,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Family-friendly spots",4,2,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Mexican/Latin American",None,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 11:38:41,Discovering things to do locally,Me and a partner (couple),Budget-conscious,Budget (< $500),"Restaurants, cafes, food halls & culinary spots, Wellness (fitness, meditation, yoga), Romantic settings (date spots)",3,4,"American, Italian, Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian",Halal,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 12:02:12,Discovering things to do locally,Me and a partner (couple),Budget-conscious,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, History, architecture & heritage sites, Scenic spots (viewpoints, nature)",4,3,"East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian, Seafood Focus",None,"Walking, Public Transit",10-20 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 12:16:25,Discovering things to do locally,Me and a partner (couple),Budget-conscious,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Romantic settings (date spots), Budget-friendly spots",4,3,"American, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Mexican/Latin American",None,"Walking, Public Transit",10-20 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 12:57:11,All of the above,Group of friends,Budget-conscious,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Bars, live music, comedy shows & nightlife, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Family-friendly spots, Budget-friendly spots",3,3,"Italian, East Asian (e.g., Chinese, Japanese, Korean), Mexican/Latin American, Indian/South Asian",None,"Walking, Public Transit",> 40 minutes,"Relaxed (few stops, more time at each place)","No, skip this step.",
4/13/2026 13:46:06,All of the above,Me and a partner (couple),Budget-conscious,Budget (< $500),"Outdoor adventures (hiking, parks, nature), Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Romantic settings (date spots), Budget-friendly spots",4,4,"East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian",Halal,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 14:06:25,Discovering things to do locally,Group of friends,Free or nearly free,Not applicable (I primarily use PlanIt locally),"Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, History, architecture & heritage sites, Adventurous activities (climbing, extreme sports, challenges), Budget-friendly spots",5,5,"Italian, Indian/South Asian",Halal,"Walking, Biking, Public Transit",> 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",None
4/13/2026 14:34:20,Discovering things to do locally,Myself (solo),Budget-conscious,"Moderate ($500 - $1,500)","Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Bars, live music, comedy shows & nightlife, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Adventurous activities (climbing, extreme sports, challenges), Family-friendly spots, Budget-friendly spots",4,5,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Indian/South Asian, Mediterranean/Middle Eastern",Halal,"Walking, Public Transit",10-20 minutes,"Relaxed (few stops, more time at each place)","No, skip this step.",
4/13/2026 14:45:22,All of the above,Group of friends,Budget-conscious,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Budget-friendly spots",4,3,"East Asian (e.g., Chinese, Japanese, Korean), Indian/South Asian, Mediterranean/Middle Eastern, Vegetarian Focus, Seafood Focus",Halal,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 15:18:56,All of the above,Group of friends,Budget-conscious,"Moderate ($500 - $1,500)","Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, History, architecture & heritage sites, Scenic spots (viewpoints, nature), Family-friendly spots, Budget-friendly spots",4,4,"East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian, Seafood Focus",Halal,Public Transit,20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 17:09:32,Discovering things to do locally,Group of friends,Budget-conscious,Budget (< $500),"Outdoor adventures (hiking, parks, nature), Restaurants, cafes, food halls & culinary spots, Scenic spots (viewpoints, nature), Budget-friendly spots",3,4,"East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian, Vegetarian Focus",Vegetarian,"Walking, Public Transit",20 - 40 minutes,"Relaxed (few stops, more time at each place)","No, skip this step.",
4/13/2026 19:45:27,All of the above,Group of friends,Moderate,"Moderate ($500 - $1,500)","Outdoor adventures (hiking, parks, nature), Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, Scenic spots (viewpoints, nature), Adventurous activities (climbing, extreme sports, challenges), Romantic settings (date spots), Budget-friendly spots",5,3,"Italian, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian",Halal,"Walking, Public Transit",20 - 40 minutes,Balanced (mix of activities and downtime),"No, skip this step.",
4/13/2026 22:36:52,All of the above,Group of friends,Budget-conscious,"Comfortable ($1,500 - $3,000)","Art, galleries, museums & cultural experiences, Restaurants, cafes, food halls & culinary spots, Bars, live music, comedy shows & nightlife, Shopping, markets, thrift stores & pop-ups, Wellness (fitness, meditation, yoga), Scenic spots (viewpoints, nature), Budget-friendly spots",5,4,"American, Italian, East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Mexican/Latin American, Indian/South Asian, Mediterranean/Middle Eastern, Vegetarian Focus",Halal,"Walking, Public Transit",> 40 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",
4/13/2026 23:47:30,All of the above,Myself (solo),Budget-conscious,"Comfortable ($1,500 - $3,000)","Restaurants, cafes, food halls & culinary spots, Shopping, markets, thrift stores & pop-ups, Adventurous activities (climbing, extreme sports, challenges), Family-friendly spots, Romantic settings (date spots), Budget-friendly spots",3,5,"East Asian (e.g., Chinese, Japanese, Korean), Southeast Asian (e.g., Thai, Vietnamese, Filipino), Indian/South Asian",Halal,"Walking, Public Transit, Driving",10-20 minutes,Balanced (mix of activities and downtime),"Yes, upload my Google Maps history for better personalization.",